,title,doi,published,ref_count,authors,abstract,author_names,journal,volume,issue,pages,article_number,publisher,crossref_title,apa_citation
220,Breaking the Mold: Normative Hybridity as the Key to Contemporary “Non-Western” Political Theorizing,10.1017/s0003055424000194,"[2024, 4, 15]",73,"[{'ORCID': 'https://orcid.org/0000-0002-8929-9728', 'authenticated-orcid': False, 'given': 'ELENA', 'family': 'ZILIOTTI', 'sequence': 'first', 'affiliation': []}]","What normative compass can appropriately ground a theory for contemporary “non-Western” societies? This question has become urgent amid the pressure to decolonize political science and academia. The hybridity of numerous contemporary non-Western societies means that political theorists cannot refuse to engage with either Western-originated or premodern Indigenous concepts and ways of thinking that bear on the local public culture. However, these normative strands alone are unsuitable for grounding a contemporary theory. This methodological dilemma can be overcome if theorists adopt normative hybridity as a methodological stance. Normative hybridity suggests that hybridity is not only a feature of the theorist’s context of reference but should also be their modus operandi. Normative hybridity already underpins relevant works in contemporary Confucian political theory. Drawing from these works, I illustrate three methods to apply normative hybridity to theory building. This novel methodological approach uniquely addresses current political theory discussions and influences non-Western policymaking.","['ZILIOTTI, ELENA']",American Political Science Review,119,1,300-313,,Cambridge University Press (CUP),Breaking the Mold: Normative Hybridity as the Key to Contemporary “Non-Western” Political Theorizing,"Ziliotti, E. (2024). Breaking the Mold: Normative Hybridity as the Key to Contemporary “Non-Western” Political Theorizing. American Political Science Review, 119 (1), 300-313.[ https://doi.org/10.1017/s0003055424000194]( https://doi.org/10.1017/s0003055424000194)"
221,Explaining Rural Conservatism: Political Consequences of Technological Change in the Great Plains,10.1017/s0003055424000200,"[2024, 4, 15]",52,"[{'ORCID': 'https://orcid.org/0000-0002-5566-3448', 'authenticated-orcid': False, 'given': 'ADITYA', 'family': 'DASGUPTA', 'sequence': 'first', 'affiliation': []}, {'given': 'ELENA', 'family': 'RAMIREZ', 'sequence': 'additional', 'affiliation': []}]","Rural areas are conservative electoral strongholds in the United States and other advanced capitalist economies. But this was not always the case. What explains the rise of rural conservatism? This paper argues that technological change transformed not only agriculture but rural political preferences during the twentieth century. It studies a natural experiment: the post-World War II introduction of new irrigation technologies, which enabled farmers to irrigate otherwise arid land in the Great Plains using groundwater. Difference-in-differences analyses exploiting the shock’s differential impact on counties overlying the Ogallala Aquifer—a pattern validated with remote-sensing data—show that technological change contributed significantly to the region’s long-term conservative electoral transformation. Additional analyses, including comparison of individual policy preferences inside/outside the Ogallala Aquifer boundary, suggest that this was due to the rise of capital-intensive agriculture and the growing power of agribusiness. The findings demonstrate how new technologies made new politics in rural America.","['DASGUPTA, ADITYA', 'RAMIREZ, ELENA']",American Political Science Review,119,1,277-299,,Cambridge University Press (CUP),Explaining Rural Conservatism: Political Consequences of Technological Change in the Great Plains,"Dasgupta, A., & Ramirez, E. (2024). Explaining Rural Conservatism: Political Consequences of Technological Change in the Great Plains. American Political Science Review, 119 (1), 277-299.[ https://doi.org/10.1017/s0003055424000200]( https://doi.org/10.1017/s0003055424000200)"
222,"Leaders but Not Authorities? Gender, Veterans, and Messages about National Security",10.1017/s0003055424000182,"[2024, 4, 15]",87,"[{'ORCID': 'https://orcid.org/0000-0003-1988-3862', 'authenticated-orcid': False, 'given': 'JONATHAN D.', 'family': 'CAVERLEY', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-4708-0074', 'authenticated-orcid': False, 'given': 'YANNA', 'family': 'KRUPNIKOV', 'sequence': 'additional', 'affiliation': []}]","Politicians’ ability to provide national security to the public is deeply enmeshed in conceptions of the state and of leadership. This article incorporates securitization, feminist, and political communication theories to consider whether gendered and militarized conceptions of national security have different effects for politicians who are women and those who are men. Although scholarship suggests that signaling military bona fides—such as invoking one’s veteran status—can help politicians claim that certain policies are a matter of national security, we consider whether this ability will be gendered. Relying on two national studies, we find results that are contrary to our original predictions. First, we find that military bona fides do help women be seen as leaders. However, we do not find evidence that bona fides increase the “authority” to identify and address national security threats for any politicians.","['CAVERLEY, JONATHAN D.', 'KRUPNIKOV, YANNA']",American Political Science Review,119,1,261-276,,Cambridge University Press (CUP),"Leaders but Not Authorities? Gender, Veterans, and Messages about National Security","Caverley, J. D., & Krupnikov, Y. (2024). Leaders but Not Authorities? Gender, Veterans, and Messages about National Security. American Political Science Review, 119 (1), 261-276.[ https://doi.org/10.1017/s0003055424000182]( https://doi.org/10.1017/s0003055424000182)"
223,Navigating Potential Pitfalls in Difference-in-Differences Designs: Reconciling Conflicting Findings on Mass Shootings’ Effect on Electoral Outcomes,10.1017/s0003055424000108,"[2024, 4, 12]",75,"[{'ORCID': 'https://orcid.org/0000-0002-6679-4849', 'authenticated-orcid': False, 'given': 'HANS J. G.', 'family': 'HASSELL', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0001-5099-3395', 'authenticated-orcid': False, 'given': 'JOHN B.', 'family': 'HOLBEIN', 'sequence': 'additional', 'affiliation': []}]","Work on the electoral effects of gun violence in the U.S. relying on difference-in-differences designs has produced findings ranging from null to substantively large effects. However, as difference-in-difference designs, on which this research relies, have exploded in popularity, scholars have documented several methodological issues including potential violations of parallel-trends and unaccounted for treatment effect heterogeneity. These pitfalls (and their solutions) have not been fully explored in political science. We apply these advancements to the unresolved debate on gun violence’s effects on U.S. electoral outcomes. We show that studies finding a large positive effect of gun violence on Democratic vote shares are a product of a failure to properly specify difference-in-differences models when underlying assumptions are unlikely to hold. Once these biases are corrected, shootings show little evidence of sparking large electoral change. Our work clarifies an unresolved debate and provides a cautionary guide for scholars currently employing difference-in-differences designs.","['HASSELL, HANS J. G.', 'HOLBEIN, JOHN B.']",American Political Science Review,119,1,240-260,,Cambridge University Press (CUP),Navigating Potential Pitfalls in Difference-in-Differences Designs: Reconciling Conflicting Findings on Mass Shootings’ Effect on Electoral Outcomes,"Hassell, H. J. G., & Holbein, J. B. (2024). Navigating Potential Pitfalls in Difference-in-Differences Designs: Reconciling Conflicting Findings on Mass Shootings’ Effect on Electoral Outcomes. American Political Science Review, 119 (1), 240-260.[ https://doi.org/10.1017/s0003055424000108]( https://doi.org/10.1017/s0003055424000108)"
224,From Protest to Child-Rearing: How Movement Politics Shape Socialization Priorities,10.1017/s0003055424000273,"[2024, 4, 2]",118,"[{'ORCID': 'https://orcid.org/0000-0001-5442-4237', 'authenticated-orcid': False, 'given': 'ALLISON P.', 'family': 'ANOLL', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0003-2516-3394', 'authenticated-orcid': False, 'given': 'ANDREW M.', 'family': 'ENGELHARDT', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-6663-1329', 'authenticated-orcid': False, 'given': 'MACKENZIE', 'family': 'ISRAEL-TRUMMEL', 'sequence': 'additional', 'affiliation': []}]","AbstractClassic political behavior studies assert that childhood socialization can contribute to later political orientations. But, as adults consider how to introduce children to politics, what shapes their decisions? We argue socialization is itself political with adults changing their socialization priorities in response to salient political events including social movements. Using Black Lives Matter (BLM) protests and race socialization as a case, we show the summer 2020 information environment coupled movement-consistent concepts of race with child-rearing guidance. A survey of white parents after the summer activism suggests that many—but especially Democrats and those near peaceful protest epicenters—prioritized new forms of race socialization. Further, nearly 2 years after the protests’ height, priming BLM changes support for race-related curricular materials among white Americans. Our work casts political socialization in a new light, reviving an old literature, and has implications for when today’s children become tomorrow’s voters.","['ANOLL, ALLISON P.', 'ENGELHARDT, ANDREW M.', 'ISRAEL-TRUMMEL, MACKENZIE']",American Political Science Review,119,1,224-239,,Cambridge University Press (CUP),From Protest to Child-Rearing: How Movement Politics Shape Socialization Priorities,"Anoll, A. P., Engelhardt, A. M., & Israel-Trummel, M. (2024). From Protest to Child-Rearing: How Movement Politics Shape Socialization Priorities. American Political Science Review, 119 (1), 224-239.[ https://doi.org/10.1017/s0003055424000273]( https://doi.org/10.1017/s0003055424000273)"
225,Partisanship and Political Socialization in Electoral Autocracies,10.1017/s0003055424000261,"[2024, 3, 26]",75,"[{'ORCID': 'https://orcid.org/0000-0002-1187-565X', 'authenticated-orcid': False, 'given': 'NATALIE WENZELL', 'family': 'LETSA', 'sequence': 'first', 'affiliation': []}]","In electoral autocracies, why do some people actively support political parties while others choose to not get involved in politics? Further, what differentiates those who choose to support the ruling party from those who support the opposition? Existing research has proposed that people support ruling parties primarily to extract economic benefits from the state while people support opposition parties primarily for ideological reasons. However, we lack a unified theory of partisanship, leading to indeterminant predictions about the individual predictors of partisanship. This article instead considers the social nature of partisanship in authoritarian regimes. Qualitative data collected in Cameroon highlight different processes of political socialization in an autocratic context, and data from an original survey show not only that partisan homogeneity in social networks is highly predictive of individual-level partisanship but also, at least to some extent, that partisanship can be contagious through the process of socialization within these networks.","['LETSA, NATALIE WENZELL']",American Political Science Review,119,1,208-223,,Cambridge University Press (CUP),Partisanship and Political Socialization in Electoral Autocracies,"Letsa, N. W. (2024). Partisanship and Political Socialization in Electoral Autocracies. American Political Science Review, 119 (1), 208-223.[ https://doi.org/10.1017/s0003055424000261]( https://doi.org/10.1017/s0003055424000261)"
226,Campaign Finance Vouchers Do Not Expand the Diversity of Donors: Evidence from Seattle,10.1017/s0003055424000170,"[2024, 3, 22]",22,"[{'ORCID': 'https://orcid.org/0000-0002-2053-7177', 'authenticated-orcid': False, 'given': 'CHENOA', 'family': 'YORGASON', 'sequence': 'first', 'affiliation': []}]","AbstractDonating to a campaign is inherently costly, and as a result the composition of campaign donors differs from the composition of the electorate. What happens when the financial barriers to campaign finance participation are removed? This paper analyzes Seattle’s recent campaign finance reform, where all registered voters receive four $25 vouchers to donate to candidates abiding by stricter campaign finance restrictions. Utilizing individual- and census block group-level data combined with administrative donation records, I find that those most mobilized by the availability of vouchers belong to groups already overrepresented within the donor pool. This finding is significant across race, income, past political participation, age, and partisanship. In some cases, the availability of vouchers appears to pull the donor pool further from parity with the larger electorate.","['YORGASON, CHENOA']",American Political Science Review,119,1,508-516,,Cambridge University Press (CUP),Campaign Finance Vouchers Do Not Expand the Diversity of Donors: Evidence from Seattle,"Yorgason, C. (2024). Campaign Finance Vouchers Do Not Expand the Diversity of Donors: Evidence from Seattle. American Political Science Review, 119 (1), 508-516.[ https://doi.org/10.1017/s0003055424000170]( https://doi.org/10.1017/s0003055424000170)"
227,Do the Effects of Unpopular Supreme Court Rulings Linger? The <i>Dobbs</i> Decision Rescinding Abortion Rights,10.1017/s0003055424000169,"[2024, 3, 22]",21,"[{'ORCID': 'https://orcid.org/0000-0002-2571-6596', 'authenticated-orcid': False, 'given': 'JAMES L.', 'family': 'GIBSON', 'sequence': 'first', 'affiliation': []}]","New evidence suggests that the world recently changed for the U.S. Supreme Court owing to its decision to abrogate the abortion rights first announced in Roe v. Wade. In contrast to the conventional wisdom that Court support is little undermined by unpopular rulings, the Dobbs decision generated a substantial knock on the Court’s legitimacy. Two crucial frailties limit these findings, however. First, no one has determined whether the lost legitimacy has persisted, since earlier research relied on a one-shot survey conducted shortly after the decision. Second, no analysis has addressed the “values-based regeneration” hypothesis—that support reemerges not long after a legitimacy hit is inflicted. Based on a nationally representative 2023 survey, my analysis finds that the lost legitimacy has lingered, but institutional support may be being rebuilt owing to its close connection with democratic values. Overall, I conclude that understanding persistence is more complicated than many may have assumed.","['GIBSON, JAMES L.']",American Political Science Review,119,1,500-507,,Cambridge University Press (CUP),Do the Effects of Unpopular Supreme Court Rulings Linger? The <i>Dobbs</i> Decision Rescinding Abortion Rights,"Gibson, J. L. (2024). Do the Effects of Unpopular Supreme Court Rulings Linger? The <i>Dobbs</i> Decision Rescinding Abortion Rights. American Political Science Review, 119 (1), 500-507.[ https://doi.org/10.1017/s0003055424000169]( https://doi.org/10.1017/s0003055424000169)"
228,An Empire of Development: American Political Thought in Transnational Perspective,10.1017/s000305542400025x,"[2024, 3, 22]",106,"[{'ORCID': 'https://orcid.org/0000-0003-0910-1548', 'authenticated-orcid': False, 'given': 'BEGÜM', 'family': 'ADALET', 'sequence': 'first', 'affiliation': []}]","This article offers a reconceptualization of US empire by foregrounding a central concept of its theory and practice: development, an ideology and attendant set of material practices that purport to uplift a defined population through political, economic, and social interventions. Because developmental ideology promises benefits and allocates specific roles to different groups, it has worked as a racializing technology, not only defining and assigning clusters of people to hierarchies of different stages but also establishing possibilities, however limited, for movement between these stages. The article demonstrates how developmental ideas and practices have been persistent, if flexible, features across the racialized government of formerly enslaved persons and Native Americans after the Civil War, overseas expansion to the Philippines at the turn of the nineteenth century, and US participation in transnational debates about empire in the early twentieth century and its pursuit of global hegemony after World War II.","['ADALET, BEGÜM']",American Political Science Review,119,1,193-207,,Cambridge University Press (CUP),An Empire of Development: American Political Thought in Transnational Perspective,"Adalet, B. (2024). An Empire of Development: American Political Thought in Transnational Perspective. American Political Science Review, 119 (1), 193-207.[ https://doi.org/10.1017/s000305542400025x]( https://doi.org/10.1017/s000305542400025x)"
229,Wages for Earthwork,10.1017/s0003055424000066,"[2024, 3, 22]",151,"[{'ORCID': 'https://orcid.org/0000-0002-1449-7324', 'authenticated-orcid': False, 'given': 'DAVID MYER', 'family': 'TEMIN', 'sequence': 'first', 'affiliation': []}]","This essay proposes a novel paradigm for a political theory of climate justice: wages for earthwork. Indigenous peoples have disproportionately contributed to the sustainable stewardship of the natural world through ecological systems of governance, which I theorize as “earthwork.” Proponents of climate reparations have focused on reparations for unequal climate damages from emissions. By contrast, I propose “wages” or reparations to Indigenous peoples for debt owed to them for their devalued climate work. This framework makes use of an analogy to the 1970s feminist wages for housework movement, which sought to reveal the exploited and yet indispensable character of systematically devalued work rendered natural and invisible. I contend that (re)valuing earthwork must also be central to projects aimed at decolonizing climate justice, that is, anticolonial climate justice. More than monetary transfers alone, wages for earthwork prioritize the restoration of Indigenous sovereignty and land and wider structural transformation of colonial capitalism.","['TEMIN, DAVID MYER']",American Political Science Review,119,1,179-192,,Cambridge University Press (CUP),Wages for Earthwork,"Temin, D. M. (2024). Wages for Earthwork. American Political Science Review, 119 (1), 179-192.[ https://doi.org/10.1017/s0003055424000066]( https://doi.org/10.1017/s0003055424000066)"
230,An Insurgent Mood: Lorraine Hansberry on the Politics of Home,10.1017/s0003055424000157,"[2024, 3, 19]",77,"[{'ORCID': 'https://orcid.org/0000-0003-0910-1548', 'authenticated-orcid': False, 'given': 'BEGÜM', 'family': 'ADALET', 'sequence': 'first', 'affiliation': []}]","This article takes as its starting point a 1961 conversation between James Baldwin and Lorraine Hansberry, where the latter first posed the question that would recur in Baldwin’s writings in the following years: “Is it necessary to integrate oneself into a burning house?” Although the phrase is often associated with Baldwin, who mostly used it as a metaphor for the racist nation, most famously in The Fire Next Time (1963), this article shows how Hansberry’s analysis of many African Americans’ skepticism toward integration into a “burning house” was situated in a global context of anticolonial, anti-capitalist, and feminist struggle. Writing within networks of Black internationalist feminists and presenting a multivalent and relational account of home, Hansberry revealed household labor and relations of intimacy to be central to the making and maintenance of empire, racism, and capitalism, as well as their contestation through acts and affects of insurgency.","['ADALET, BEGÜM']",American Political Science Review,119,1,165-178,,Cambridge University Press (CUP),An Insurgent Mood: Lorraine Hansberry on the Politics of Home,"Adalet, B. (2024). An Insurgent Mood: Lorraine Hansberry on the Politics of Home. American Political Science Review, 119 (1), 165-178.[ https://doi.org/10.1017/s0003055424000157]( https://doi.org/10.1017/s0003055424000157)"
231,"Gender, Race, and Interruptions at Supreme Court Confirmation Hearings",10.1017/s0003055424000145,"[2024, 3, 14]",45,"[{'ORCID': 'https://orcid.org/0000-0001-5793-1066', 'authenticated-orcid': False, 'given': 'CHRISTINA L.', 'family': 'BOYD', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-5474-4123', 'authenticated-orcid': False, 'suffix': 'JR.', 'given': 'PAUL M.', 'family': 'COLLINS', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'https://orcid.org/0009-0009-5313-1753', 'authenticated-orcid': False, 'given': 'LORI A.', 'family': 'RINGHAND', 'sequence': 'additional', 'affiliation': []}]","In this research letter, we examine whether gender and racial bias affect interruption rates at one of the most visible events in American politics: US Supreme Court confirmation hearings. Using original data from 1939 to 2022, we find that male and white participants are more likely to interrupt women and person of color speakers, respectively, relative to male and white speakers. This finding holds for both senators and nominees as interrupters. Our results provide evidence that biased interruptive behavior occurs in even the most public and salient of political settings and that it can be mitigated (or intensified) by shared (or opposite) partisanship among speaking pairs. We also find interruption inequalities are not isolated to women as the interrupted, revealing that people of color in political and legal settings are subject to heightened rates of interruptions as well.","['BOYD, CHRISTINA L.', 'COLLINS, PAUL M.', 'RINGHAND, LORI A.']",American Political Science Review,119,1,492-499,,Cambridge University Press (CUP),"Gender, Race, and Interruptions at Supreme Court Confirmation Hearings","Boyd, C. L., Collins, P. M., & Ringhand, L. A. (2024). Gender, Race, and Interruptions at Supreme Court Confirmation Hearings. American Political Science Review, 119 (1), 492-499.[ https://doi.org/10.1017/s0003055424000145]( https://doi.org/10.1017/s0003055424000145)"
232,The Distributive Politics of Grants-in-Aid,10.1017/s000305542400011x,"[2024, 3, 14]",58,"[{'ORCID': 'https://orcid.org/0000-0003-2286-0557', 'authenticated-orcid': False, 'given': 'LEAH', 'family': 'ROSENSTIEL', 'sequence': 'first', 'affiliation': []}]","How does politics affect, and possibly distort, how resources are allocated? I show that where the federal government provides public goods and financial assistance depends not only on who has power within Congress but also on the characteristics of their constituents. In a federal system like the United States, the central government provides resources by allocating grants to subnational governments based on demographic characteristics. Thus, to maximize funding for their states, members of Congress must also distribute funding to states with similar characteristics. Using panel data on education spending and a difference-in-differences design, I demonstrate that grants disproportionately benefit states represented by Senate committee chairs, but this benefit spills over to similar states. However, I find no evidence of committee influence over grants in the House. These findings contribute to our understanding of distributive politics and shed light on the consequences of allocating resources within a federal system.","['ROSENSTIEL, LEAH']",American Political Science Review,119,1,152-164,,Cambridge University Press (CUP),The Distributive Politics of Grants-in-Aid,"Rosenstiel, L. (2024). The Distributive Politics of Grants-in-Aid. American Political Science Review, 119 (1), 152-164.[ https://doi.org/10.1017/s000305542400011x]( https://doi.org/10.1017/s000305542400011x)"
233,Endogenous Colonial Borders: Precolonial States and Geography in the Partition of Africa,10.1017/s0003055424000054,"[2024, 3, 7]",67,"[{'ORCID': 'https://orcid.org/0000-0002-2213-7687', 'authenticated-orcid': False, 'given': 'JACK', 'family': 'PAINE', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-7817-783X', 'authenticated-orcid': False, 'given': 'XIAOYAN', 'family': 'QIU', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0003-4553-9563', 'authenticated-orcid': False, 'given': 'JOAN', 'family': 'RICART-HUGUET', 'sequence': 'additional', 'affiliation': []}]","We revise the conventional wisdom that Africa’s international borders were drawn arbitrarily. Europeans knew very little about most of Africa in the mid-1880s, but their self-interested goals of amassing territory prompted intensive examination of on-the-ground conditions as they formed borders. Europeans negotiated with African rulers to secure treaties and to learn about historical state frontiers, which enabled Africans to influence the border-formation process. Major water bodies, which shaped precolonial civilizations and trade, also served as focal points. We find support for these new theoretical implications using two original datasets. Quantitatively, we analyze border-location correlates using grid cells and an original spatial dataset on precolonial states. Qualitatively, we compiled information from treaties and diplomatic histories to code causal process observations for every bilateral border. Historical political frontiers directly affected 62% of all bilateral borders. Water bodies, often major ones, comprised the primary border feature much more frequently than straight lines.","['PAINE, JACK', 'QIU, XIAOYAN', 'RICART-HUGUET, JOAN']",American Political Science Review,119,1,1-20,,Cambridge University Press (CUP),Endogenous Colonial Borders: Precolonial States and Geography in the Partition of Africa,"Paine, J., Qiu, X., & Ricart-Huguet, J. (2024). Endogenous Colonial Borders: Precolonial States and Geography in the Partition of Africa. American Political Science Review, 119 (1), 1-20.[ https://doi.org/10.1017/s0003055424000054]( https://doi.org/10.1017/s0003055424000054)"
234,Why Seeing Is Not Believing and Why Believing Is Seeing: On the Politics of Sight,10.1017/s0003055423001491,"[2024, 3, 7]",67,"[{'ORCID': 'https://orcid.org/0000-0003-2882-9112', 'authenticated-orcid': False, 'given': 'PABLO P.', 'family': 'CASTELLÓ', 'sequence': 'first', 'affiliation': []}]","Social movements often appeal to the politics of sight, meaning that if people knew about a given injustice, political transformation would follow. Jasmine English and Bernardo Zacka articulate two central premises of the politics of sight: “(1) exposing morally repugnant practices will make us see them, (2) seeing such practices will stop us from acquiescing to them.” Considering the case of slaughterhouse workers, Timothy Pachirat and English and Zacka challenge the previous premises. This article complements their contributions by theorizing what I call Western conceptuality/language and the role this plays in forming our subjectivities not to recognize violence on the one hand, and to be sovereign masters over animals on the other. I conclude by discussing the political implications of these arguments for the politics of sight, including the role of concealment and exposure, and the conditions needed for humans to see animals in their full ethical weight.","['CASTELLÓ, PABLO P.']",American Political Science Review,119,1,124-134,,Cambridge University Press (CUP),Why Seeing Is Not Believing and Why Believing Is Seeing: On the Politics of Sight,"Castelló, P. P. (2024). Why Seeing Is Not Believing and Why Believing Is Seeing: On the Politics of Sight. American Political Science Review, 119 (1), 124-134.[ https://doi.org/10.1017/s0003055423001491]( https://doi.org/10.1017/s0003055423001491)"
235,The Effect of Protesters’ Gender on Public Reactions to Protests and Protest Repression,10.1017/s0003055424000133,"[2024, 3, 7]",93,"[{'ORCID': 'https://orcid.org/0000-0001-7195-4600', 'authenticated-orcid': False, 'given': 'MARTIN', 'family': 'NAUNOV', 'sequence': 'first', 'affiliation': []}]","This study examines how protesters’ gender shapes public reactions to protests and protest repression. Using an original survey experiment, I demonstrate that protests involving extensive participation by women are perceived as less violent and meriting of repression than male-dominated protests. But perceptions of female protesters vary. Patriarchy-defiant female protesters like feminists are deemed more deserving of repression despite being perceived as equally likely to be peaceful as female protesters who emphasize patriarchy-compliant femininities, such as women who highlight their roles as mothers and wives. This, I show, is because patriarchy-defiant women are viewed as more immoral, which renders their protest accounts less trustworthy when they clash with government propaganda seeking to legitimize repression. These findings underscore the value of disaggregating the binary category of man or woman when examining sentiments toward political agents and of considering stereotypes when studying perceptions, and ultimately the risks and effectiveness, of protest movements.","['NAUNOV, MARTIN']",American Political Science Review,119,1,135-151,,Cambridge University Press (CUP),The Effect of Protesters’ Gender on Public Reactions to Protests and Protest Repression,"Naunov, M. (2024). The Effect of Protesters’ Gender on Public Reactions to Protests and Protest Repression. American Political Science Review, 119 (1), 135-151.[ https://doi.org/10.1017/s0003055424000133]( https://doi.org/10.1017/s0003055424000133)"
236,The Effect of Judicial Decisions on Issue Salience and Legal Consciousness in Media Serving the LGBTQ+ Community,10.1017/s0003055424000030,"[2024, 2, 26]",100,"[{'ORCID': 'https://orcid.org/0000-0002-5897-7098', 'authenticated-orcid': False, 'given': 'CHRISTINE M.', 'family': 'BAILEY', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-5474-4123', 'authenticated-orcid': False, 'suffix': 'JR.', 'given': 'PAUL M.', 'family': 'COLLINS', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-1304-2256', 'authenticated-orcid': False, 'given': 'JESSE H.', 'family': 'RHODES', 'sequence': 'additional', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-3653-857X', 'authenticated-orcid': False, 'given': 'DOUGLAS', 'family': 'RICE', 'sequence': 'additional', 'affiliation': []}]","Scholars have long questioned whether and how courts influence society. We contribute to this debate by investigating the ability of judicial decisions to shape issue attention and affect toward courts in media serving the LGBTQ+ community. To do so, we compiled an original database of LGBTQ+ magazine coverage of court cases over an extended period covering major decisions, including Lawrence v. Texas (2003), Goodridge v. Massachusetts Department of Public Health (2003), and Lofton v. Secretary of Department of Children &amp; Family Services (2004). We argue these cases influence the volume and tone of LGBTQ+ media coverage. Combining computational social science techniques with qualitative analysis, we find increased attention to same-sex marriage after the decisions in Lawrence, Goodridge, and Lofton, and the coalescence of discussions of courts around same-sex marriage after Lawrence. We also show how LGBTQ+ media informed readers about the political and legal implications of struggles over marriage equality.","['BAILEY, CHRISTINE M.', 'COLLINS, PAUL M.', 'RHODES, JESSE H.', 'RICE, DOUGLAS']",American Political Science Review,119,1,108-123,,Cambridge University Press (CUP),The Effect of Judicial Decisions on Issue Salience and Legal Consciousness in Media Serving the LGBTQ+ Community,"Bailey, C. M., Collins, P. M., Rhodes, J. H., & Rice, D. (2024). The Effect of Judicial Decisions on Issue Salience and Legal Consciousness in Media Serving the LGBTQ+ Community. American Political Science Review, 119 (1), 108-123.[ https://doi.org/10.1017/s0003055424000030]( https://doi.org/10.1017/s0003055424000030)"
237,Anger and Political Conflict Dynamics,10.1017/s0003055424000078,"[2024, 2, 26]",163,"[{'ORCID': 'https://orcid.org/0000-0001-6997-5656', 'authenticated-orcid': False, 'given': 'KEITH E.', 'family': 'SCHNAKENBERG', 'sequence': 'first', 'affiliation': []}, {'ORCID': 'https://orcid.org/0000-0002-4183-3071', 'authenticated-orcid': False, 'given': 'CARLY N.', 'family': 'WAYNE', 'sequence': 'additional', 'affiliation': []}]","Emotions shape strategic conflict dynamics. However, the precise way in which strategic and emotional concerns interact to affect international cooperation and contention are not well understood. We propose a model of intergroup conflict under incomplete information in which agents are sensitive to psychological motivations in the form of anger. Agents become angry in response to worse-than-expected outcomes due to actions of other players. Aggression may be motivated by anger or by beliefs about preferences of members of the other group. Increasing one group’s sensitivity to anger makes that group more aggressive but reduces learning about preferences, which makes the other group less aggressive in response to bad outcomes. Thus, anger has competing effects on the likelihood of conflict. The results have important implications for understanding the complex role of anger in international relations and, more generally, the interplay between psychological and material aims in both fomenting and ameliorating conflict.","['SCHNAKENBERG, KEITH E.', 'WAYNE, CARLY N.']",American Political Science Review,118,3,1158-1173,,Cambridge University Press (CUP),Anger and Political Conflict Dynamics,"Schnakenberg, K. E., & Wayne, C. N. (2024). Anger and Political Conflict Dynamics. American Political Science Review, 118 (3), 1158-1173.[ https://doi.org/10.1017/s0003055424000078]( https://doi.org/10.1017/s0003055424000078)"
238,Territorial Autonomy and the Trade-Off between Civil and Communal Violence,10.1017/s0003055424000017,"[2024, 2, 26]",58,"[{'ORCID': 'https://orcid.org/0000-0003-1803-6688', 'authenticated-orcid': False, 'given': 'ANDREAS', 'family': 'JUON', 'sequence': 'first', 'affiliation': []}]","To safeguard peace in multi-ethnic countries, scholars and practitioners recommend territorial autonomy. However, there is limited cross-national research on how autonomy affects subnational ethnic conflict, and increasing concern that it redirects ethnic violence from the national to the subnational level. Addressing this gap, I argue that autonomy generates tensions over subnational government control and the distribution of local economic goods. However, whether these turn violent depends on ethnic representation in the central government. If groups are unequally represented, violent escalation is more likely due to information and commitment problems and subnational majoritarianism. To test these arguments, I provide new time-variant data on subnational boundaries, territorial autonomy, and ethnically attributed violence. I conduct a systematic analysis of all multi-ethnic countries between 1989 and 2019, instrumental variable analyses, and tests of my argument’s intermediate implications. My findings underline the importance of complementing autonomy with inclusive central governments to attenuate the risks of subnational violence.","['JUON, ANDREAS']",American Political Science Review,119,1,91-107,,Cambridge University Press (CUP),Territorial Autonomy and the Trade-Off between Civil and Communal Violence,"Juon, A. (2024). Territorial Autonomy and the Trade-Off between Civil and Communal Violence. American Political Science Review, 119 (1), 91-107.[ https://doi.org/10.1017/s0003055424000017]( https://doi.org/10.1017/s0003055424000017)"
